question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type,user_ans
Erythrocyte transketolase activity is seen in which vitamin -,"Ans. is 'b' i.e., Thiamine [Ref: Harper 29th/e p. 534}Thiamine fVitamin B1o Thiamine is also called aneurine. Thiamine has a central role in energy-yielding metabolism and especially the metabolism of carbohydrates. The active from of thiamine is thiamine pyrophosphate (TTP) also called thiaminediphosphate (TDP).o Thiamine diphosphate (TDP) or TPP is the coenzyme for three multienzyme complexes that catalyze oxidative decarboxylation:i) Pyruvate dehydrogenase in carbohydrate metabolism, which catalyzes the conversion of pyruvate to acetyl CoA.ii) a-Ketoglutarate dehydrogenase in citric acid cycle, which catalyzes the conversion of a-ketoglutarate to succinyl CoA.iii) Branched-chain keto acid dehydrogenase which catalyzes the oxidative decarboxylation of branched chain keto amino acids, i.e. leucine, isoleucine and valine.o Thiamine diphosphate is also the coenzume for transketolase, in the pentose phosphate pathway. Therefore, thiamine nutritional status is best assessed by erythrocyte (preferred) or whole blood transketolase activity.o Deficiency of thiamine causes:BeriberiWernicke's encephalopathy, with korsakoff psychosisLactic acidosis",2,Riboflavin,Thiamine,Folic acid,Niacine,Biochemistry,Mechanisms of Enzyme Action,f3c45c48-1398-4a07-a473-534795b95ff6,single,3
A child presents with hepatomegaly and bilateral lenticular opacities. Deficiency of which of the following enzyme will NOT cause such features:,"This is a case of galactosemia in which Liver is affected Oil drop cataract occurs. Glucokinase is not an enzyme of galactose metabolism. Rest all are enzymes of galactose metabolism, which can be deficient in galactosemia. GALACTOSEMIA: Galactose-1-phosphate uridyl transferase deficiency leads to classical galactosemia.It is an autosomal recessive disorder. Urinary reducing sugar (Benedict's test) and Mucic acid test is positive. Treatment is galactose - free diet.",3,UDP-galactose-4-epimerase,Galactokinase,Glucokinase,Gal-1-P uridyl transferase,Biochemistry,Galactose and fructose metabolism,84713469-a1c3-48d8-83a3-c15afebd3f91,single,3
Phenylbutyrate is used in urea cycle disorders because it,In all urea cycle disorders there is accumulation of NH3 (hyperammonemia) which is very toxic and has to be removed Using scavenging agents:- One of the treatment of urea cycle disorder is the use of NH3 scavenging agents These are Phenylbutyrate and Sodium benzoate Phenyl butyrate reacts with glutamine to get conveed in to phenyl acetyl glutamine which can be excreted. Other method to treat urea cycle disorders: Give Arginine (1st line Treatment ) An essential amino acid Provides ornithine (required in 2nd step of urea cycle) Activator of NAGS But it is contraindicated in Arginase deficiency Restrict protein intake to 50% of normal,1,Scavenges nitrogen,Activates enzymes,Maintains renal output,Maintains energy production,Biochemistry,Urea cycle,20f8f840-fc2f-4190-ba11-a43453b07b82,single,1
Storage form of free eneragy in the cell -,"Ans. is 'b' i.e., ATP o For a biological reaction to proceed in forward direction, free energy (DG) should be less than 0.o Many biological reactions (such as synthesis of macro molecules) are thermodynemically unstable, i.e. their free energy (DG) > 0.o In order for such reactions to proceed, addtional source of energy is required.o ATP plays a central role by acting as a store offree energy with in the cell. Hydrolysis of ATP provides a significant free energy for such reactions.",2,Creatine phosphate,ATP,NADH,G-6-P,Biochemistry,Membrane Structure & Function,e8ec16e4-0554-4aa4-8a96-4ea5484555f5,single,2
In hypoparathyroidism:,Ans. C. Plasma calcium is low and inorganic phosphorous highPTH hormone is concerned with the regulation of the concentration of Ca and PO4 ions in the blood plasma. It is released from parathyroid glands and their main function is to increase the concentration of Ca and to decrease the concentration of PO4. Hypoparathyroidism leads to low plasma Ca and high inorganic phosphorous.,3,Plasma calcium and inorganic phosphorous are low,Plasma calcium and inorganic phosphorous are high,Plasma calcium is low and inorganic phosphorous high,Plasma calcium is high and inorganic phosphorous low,Biochemistry,Membrane Structure & Function,0a2e3f80-0ee8-47e5-868b-3b4f95dbdf62,single,3
Polyol pathway is responsible for formation of,Polyol pathway is responsible for the formation of fructose from glucose Fig: The sorbitol (polyol) pathway,1,Fructose from glucose,Galactose From Fructose,Galactose From Glucose,Glucose From Fructose,Biochemistry,Galactose and fructose metabolism,19e25fae-506a-4aa4-ac31-c57a81ddece5,single,1
Zinc is essential for -,"Ans. is 'd' i.e., Carbonic anhydrase",4,Pyruvate lrinase,Cytochrome oxidase,Xanthine oxidase,Carbonic anhydrase,Biochemistry,Mechanisms of Enzyme Action,15afd065-bde4-4233-bbce-0daf02b0302b,single,4
Which of the following is the products formed from alcohol but not the intermediates of TCA cycle/ glycolysis: (PGI Dec 2006),Ans: A (Acetaldehyde) Acetaldehyde is formed from alcohol but it is not intermediate ofTCA cycleQ Malate & oxalate are intermediates in TCA cycle (Harper27th/14 7) whereas pyruvate & lactate are intermediates in glycolysisfHarper 27th/lS3)Ethanol + NADPH + H+ + O2 MEOS AcetaldehydeFig. Metabolic pathway of alcohol,1,Acetaldehyde,Pyruvate,Lactate,Oxalate,Biochemistry,Kerbs Cycle,7f5555c5-88ed-4d79-b98d-4c5a7c37646d,single,1
Accumulation of sphingomyelin in phagocytic cells is feature of,"Ans. is 'b' ie., Niemann pick disease First three options are types of Lysosomal storage disordersThe characteristic feature of lysosomal storage disorders is accumulation of specific macromolecules within cells that are normally metabolized by the cells. This is because of deficiency of one or other lysosomal enzymesSome important lysosomal storage disorders , the deficient enzymes and the stored macromolecule are listed below--Lysomal Storage DiseaseDeficient EnzymeStored Material* Fabry's ds*a- Galactosidase AGlobotriaosyl ceramide* Gaucher's ds*Acid beta - glucosidaseGlucosyl-ceramidase* Niemann - Pick ds*SphingomyelinaseSphingomyelin* Tay -Sach's ds*b - hexosaminidase AGM2 gangliosides* Sandhoff ds*b - hexosaminidase A and BGM2 gangliosides* Hurler's ds*a - L-iduronidaseDermatan sulfate Heparan sulfate* Hunter's ds*Iduronate sulfataseDermatan sulfate* Metachromatic leukodystrophy*Arylsulfatase -ACerebroside - sulfate* Krabbe's ds*GalactosylceramidaseGalactosylceramide Galactosyl sphingosine",2,Gauchers disease,Niemann pick ds,Tay sachs disease,Downs syndrome,Biochemistry,"Phospholipids, Glycolipids and their disorders",a3d1beff-a1ad-4515-9951-185916527e9e,single,2
Which of the following is the etiology of Werner syndrome?,Werner syndrome: It is a hereditary condition with premature aging due to mutation in the WRN gene There is Loss of function DNA helicase. This results in the shoening of the telomeres with damaged DNA. There is increased risk of cancer in the individuals with Werner syndrome.,2,Increased length of telomere,Sho telomere with damaged DNA and loss of helicase,Increased advanced glycation end products,Decreased lipid peroxidation,Biochemistry,NEET Jan 2020,2b642e5a-1398-40c6-9378-492787a51446,single,2
Krabbes disease is due to deficiency of -,"Ans. is 'b' i.e., Beta gaiactocerebrosidase DiseaseEnzyme deficiencyLipid accumulatedTay-sach diseaseHexosaminidase AGM, gangliosideSandoff diseaseHexosaminidase BGM,gangliosideNiemann-Pick diseaseSphi ngomyel inaseSphingomyelineFarber's diseaseCeram idaseAcyl-sphingosine (ceramide)Fabry's diseasea-galactosidaseGlobotri sy IceramideKrabbe's diseaseb-galactosidase(Galactosylceramidase)GalactosvlceramideGaucher's diseaseb-gl ucosidase (gl ucoccrebrosi dase)Glueosy IceramideMetachromatic leukodystrophyArylsulfatase A3-Suffoga!actosy!ceramide",2,Sphingomyelinase,Beta galactocerebrosidase,Hexosaminidase,Aryisulfatase,Biochemistry,"Phospholipids, Glycolipids and their disorders",1a2079ab-0606-48c6-bcb0-d5b290cf964b,single,2
Fructose is absorbed by:,"Ans: B (Facilitated diffusion) Ref: Textbook of Biochemistry for Medical Students by DM Vasudevan,6th edition,Chapter 9,pp-91.Explanation:The GLUT 5 Na+-independent facilitative transporter allows fructose, as well as glucose and galactose, to be transported down their concentration gradientsExit from the cell for all sugars is via the GLUT 2 facilitative transporter.",2,Simple diffusion,Facilitated diffusion,Cotransport,Svmport,Biochemistry,Membrane Structure & Function,4197af37-3c86-4f59-a0fc-8f8c2e79070a,single,2
Source of ammonia in urine -,"Ans. is 'a' i.e., Glutaminase o In many tissues like liver, kidney and brain, ammonia combines with glutamate to yield glutamine, by the action of glutamine synthase. The brain is a rich source of glutamine synthase and it predominantly detoxifies ammonia by this route.o Glutamine is a nontoxic major transport form of ammonia. The glutamine is transported by blood to liver where deamination (removal of amino group) of glutamine takes place. Glutaminase cleaves glutamine to yield glutamate and free ammonia (ammonium ion). The ammonia is converted by liver to urea.# Formation and secretion ammonia by renal tubular cells maintain acid base balance. Ammonia is formed from glutamine by glutaminase. Excretion of ammonia increases in metabolic acidosis and decreases in metabolic alkalosis.",1,Glutaminase,Urease,Glutamate dehydrogenase,Arginase,Biochemistry,Urea Cycle and Disorders,8bd91260-07e1-443b-bf01-f38f4c9571a2,single,1
Which one of the following is a symptom of ammonia intoxication?,One of earlier symptoms of ammonia intoxication is haziness of vision and slurring of speech Other clinical features of urea cycle defects:- Increased blood glutamine Decreased BUN (Blood Urea Nitrogen) Cerebral oedema Vomiting Lethargy hyperventilation Note:-Severe ammonia toxicity can lead to coma and eventually death.,1,Slurring of speech,Abdominal pain,Diarrhea,Constipation,Biochemistry,Urea cycle,526e671d-6799-464f-bc5e-d9e1c615eaaf,single,1
The graph given below denotes the transport kinetics across the cell membrane. The solute is:,Ans. C. Glucosea. Rate of glucose entry is almost zero without the transporter molecule helping in facilitated diffusionb. Glucose concentration determines the rate of transport: Km can be calculated from the half maximal ratec. Km (glucose): 1.5mMd. Value of Km gives information regarding the affinity of the transporter to glucosee. Affinity is inversely proportional to Km.f. There is a favorable free energy for glucose transportg. Blood glucose concentration is roughly 65-90mg/dL,3,Oxygen,Sodium,Glucose,Chloride,Biochemistry,Membrane Structure & Function,f87ef4cb-59ad-4c54-a9a9-021c23d81a64,single,3
"In case of LPL deficiency, which of the following will increase after a fat rich diet?","Lipoprotein Lipase deficiency causes Familial Hyperchylomicronemia or Type I Hyperlipoproteinemia. This enzyme breaks the TGs of Chylomicrons into Fatty Acids and Glycerol. Chylomicrons move throughout the body in blood and they are acted upon by enzyme Lipoprotein Lipase. Hence In LPL deficiency, chylomicrons and TG will rise in plasma. Extra Reading: Hyperlipoproeinemia Type Increased plasma lipoproteins Increased plasma lipid (most) Probable metabolic defect I Chylomicrons Triacyglycerols Deficiency of lipoprotein lipase IIa LDL Cholesterol Deficiency of LDL receptors IIb LDL and VLDL Triacylglycerols and cholesterol Overproductionn of apo-B III IDL Triacylglycerols and cholesterol Abnormality in apo-E IV VLDL Triacylglycerols Overproduction of TG V Chylomicrons and VLDL Triacylglycerols -",1,Chylomicron,HDL,Lipoprotein (a),LDL,Biochemistry,NEET 2019,f75023db-35c8-4c79-bc76-6547044851cc,single,1
No is synthesized from:,"Also called asEndothelium derived Relaxing Factor NO (nitric oxide): - synthesized fromArginineby enzymeNOS(Nitric oxide synthase) in the endothelial cells Nitric oxide relaxes the smooth muscles of blood vessels The vasodilator - nitroglycerin also enters smooth muscle cells, where its metabolism also leads to the formation of NO. There are three isoforms of NOS (Nitric oxide synthase) n NOS - neuronal i NOS- inducible e NOS- endothelial",1,L-arginine,L-citrulline,Glycine,Lysine,Biochemistry,NEET Jan 2020,3132b5ad-6406-4bdb-a71a-be7b9f53cbac,single,1
Thiamine dependent enzyme-,"Ans. is 'a' i.e., Transketalase o Active form (coenzyme form) of thiamine is thiamine pyrophosphate (TPP), also called thiamine diphosphate (TDP).o TPP acts as coenzyme for-i) Oxidative decarboxylation Pyruvate dehydrogenase, a-ketoglutarate dehydrogenase, brached-chain keto acid dehydrogenase.ii) Transketolase in PPPo Thiamine deficiency causes beriberi.",1,Transketolase,Transaldolase,Amino transferase,Einolase,Biochemistry,Mechanisms of Enzyme Action,077b7a9d-9ce5-42df-ba9a-74123d62a627,single,1
Hunter syndrome is due to deficiency of -,"Ans. is 'c' i.e., Induronate Sulfatase DiseaseDeficiencyInheritanceGM1 gangliosidosesBeta galactosidaseARMucopolySaccharidosesMPS I-Hurler syndromea-L-iduronidaseARMPS II-Hunter syndromeIduronate sulfataseXRMPS IIISanfilippo syndrome AHeparan sulfamidaseARSanfilippo syndrome BN-acetylglucosaminidaseSanfilippo syndrome CAcetyl-CoA: alphaglucosaminide acetyltransferaseSanfilippo syndrome DN-acetylglucosamine-6-sulfataseMPS IVMorquio syndrome AGalactose-6-sulfate sulfataseARMorquio syndrome BBeta-galactosidaseMPS VI - Maroteaux-Lamy syndromeN-acetylgalactosamine-4-sulfataseARMPS VII - Sly syndromeb-glucuronidaseARMPS IX - Natowicz syndromeHyaluronidaseAR",3,Beta galactosidase,Sphingomyelinase,Iduronate Sulfatase,Hyaluronidase,Biochemistry,"Phospholipids, Glycolipids and their disorders",08bbb20f-251e-44c5-a4bf-be4d500aea96,single,3
Which of the following enzyme of Heme synthesis is located in mitochondria?,First reaction and the last 3 reactions of heme synthesis take place in the mitochondria. The rest of them takes place in cytosol. Figure: Heme synthesis occuring in mitochondrion & cytosol,1,ALA synthase,ALA dehydratase,Uroporphyrinogen I synthase,Uroporphyrinogen decarboxylase,Biochemistry,HAEM synth and porphyrias,30e8b85b-e8ca-4fad-b677-98758193afac,single,1
Ketosis is caused by -,"Ans. is 'b' i.e., Over production of acetyl-CoA o Ketogenesis occurs when there is high rate of fatty acid oxidation in liver which provides excessine acetyl-CoA.o Normally, rates of ketone body synthesis and their utilization (oxidation) are balanced so that their serum concentration is maintained to very low level (normal is < 0.2 mmol/L or< 1 mg/d1) and urinary excretion is negligible (< 1 mg/ 24 hours).o However, when rate of ketogenesis exceeds their utilization, their concentration in blood rises, and the condition is known as ketonemia (hyperketonemia).o Excess ketone bodies are eliminated in urine, this is known as kenonuria.o The overall condition is called Ketosis.o Ketogenesis is usually associated with excessive fatty acid oxidation^ which occurs most notably in starvation and diabetes (type 1 DM).",2,Excessine utilization of glucose,Over production of acetyl-CoA,Excessine secretion of insulin,Excessine intake of carbohydrates,Biochemistry,Oxidation of Fatty acids: Ketogenesis,85442fe6-31c6-41bd-a199-1d47f403e20e,single,2
"THEME AND FOCUS: AMINO ACIDS Case Study: A female neonate did well until approximately 24 hours of age when she became lethargic. A sepsis workup proved negative. At 54 hours, she staed showing focal seizure activity. The plasma ammonia level was found to be 1,000 mmol/L (normal 5-35 mmol/L). Quantitative plasma amino acid levels revealed a marked elevation of argininosuccinate. Lead Question: Which one of the following enzymic activities is most likely to be deficient in this patient?","Genetic deficiencies of each of the five enzymes of the urea cycle, as well as deficiencies in N-acetyglutamate synthase, can lead to increase in plasma ammonia levels. The accumulation of argininosuccinate in the plasma of this patient means that the enzymes required for its synthesis are functional But the enzyme required for its cleavage (argininosuccinate lyase or argininosuccinase) to arginine plus fumarate is not",2,Arginase.,Argininosuccinate lyase.,Argininosuccinate synthase.,Carbamoyl phosphate synthetase I.,Biochemistry,Urea cycle,266092a8-15e5-487a-8c36-01965ca579e8,single,2
Which intermediate of citric acid cycle is used in detoxification of ammonia in brain?,"When ammonia is present in body in large amount (hyperammonemia), then this alpha-ketoglutarate of TCA combines with one amino group to form glutamate Fuher glutamate combines with the second amino group to form glutamine Glutamine is a safe form of ammonia storage & transpo. Alpha-ketoglutarate is depleted, which affects TCA cycle. That's why brain is affected as the first organ (Brain is highly aerobic tissue).",3,Citrate,Succinate,Alpha-ketoglutarate,Oxalo-acetate,Biochemistry,Urea cycle,b47a2523-3672-44a0-b6c2-f33f0596a9f5,single,3
"THEME AND FOCUS: METABOLISM OF CARBOHYDRATES Case Study: A 3 year old boy was brought to the emergency depament after several episodes of vomiting and lethargy. He was also found to have hypoglycemia. His pediatrician was concerned about possible hepatic failure along with recurrent episodes of vomiting and lethargy. After a careful history, it was observed that these episodes occur after ingestion of sweets or fruits. Lead Question: What is the most likely diagnosis?","Disorders Hereditary fructose intolerance Autosomal Recessive By deficiency of aldolase B. Asymptomatic until they ingest fructose Patient has jaundice, hepatomegaly and hypoglycemia. Fructose-1-phosphate is accumulated, which inhibits glycogen phosphorylase. Galactosemia galactose + blood - accumulation of galactose in blood due to defect in galactose metabolism. The most common enzyme which is deficient is GALIPUT (Galactose-1-phosphate uridyl transferase). Glycogen storage disease type III also known as GSD-III or Cori's disease deficiency of debranching enzyme, Limit dextrins are accumulated in liver- hepatomegaly. Fructosuria benign condition, enzyme deficient is fructokinase.",1,Hereditary Fructose Intolerance,Glucose Homeostasis,Glycogen storage disease type III,Galactosemia,Biochemistry,Galactose and fructose metabolism,cd7f322f-92dd-45a6-87c2-614326ea5275,single,1
Metachromatic leukodystrophy is due to deficiency of -,"Ans. is 'd' i.e., Arylsulfatase Disease Enzy me deficiencyLipid accumulated Tay-sach diseaseHexosaminidase AGM2 gangliosideSandoff diseaseHexosaminidase BGM2 gangliosideNiemann-Pick diseaseSphingomyelinaseSphingomyelineFarber's diseaseCeramidaseAcyl-sphingosine (ceramide)Fabry's diseasea-galactosidaseGlobotrisylceramideKrabbe's diseaseb-galactosidase (Galactosy lcerami dase)Galactosy lcerami deGaucher's diseaseb-glucosidase (glucocerebrosidase)GlucosylceramideMetachromatic leukodystrophyAry lsulfatase A3-Sulfogalactosylceramide",4,Hexosaminidase A,Hexosaminidase B,Ceramidase,Arylsulfatase,Biochemistry,"Phospholipids, Glycolipids and their disorders",1c3d6aad-b63d-4df5-97bd-25a5af7baa92,single,1
Major source of ammonia in kidney -,"Ans. is 'b' i.e., Glutamine Transport of ammoniao Ammonia is produced in most of the tissues. However, it should be transported to liver as urea cycle (formation of urea) occurs only in liver. Since free ammonia is highly toxic, it is never transported in free form in blood. Two mechanisms are available for transport of ammonia from the peripheral tissues to the liver.1) In the form of glutamine# In many tissues like liver, kidney and brain, ammonia combines with glutamate to yield glutamine, by the action of glutamine synthase. The brain is a rich source of glutamine synthase and it predominantly detoxifies ammonia by this routeQ.# Glutamine is a nontoxic major transport form of ammoniaQ. The glutamine is transported by blood to liver where deamination (removal of amino group) of glutamineQ takes place. Glutaminase cleaves glutamine to yield glutamate and free ammonia (ammonium ion). The ammonia is converted by liver to urea.# Formation and secretion ammonia by renal tubular cells maintain acid base balance. Ammonia is formed from glutamine by glutaminaseQ. Excretion of ammonia increases in metabolic acidosis and decreases in metabolic alkalosisQ.2) In the form of alanine# Alanine transports ammonia from muscles to liverQ through 'glucose-alanine cycle'. In muscle, glutamate is formed from ammonia and a-ketogiutarate by reversal of the glutamate dehydrogenase reaction. L-glutamate then transfers its a-amino group to pyruvate by transmination reaction to form alanine. Alanine is transported to liver. In liver alanine is converted to pyruvate and glutamate by transamination reaction. Glutamate undergoes oxidative deamination to release free ammonia, which is converted to urea. Pyruvate is converted to glucose by gluconeogenesis.",2,Glutamate,Glutamine,a-ketoglutarate,Alanine,Biochemistry,Urea Cycle and Disorders,cfdbfe95-7328-4ba2-b8cf-1c136bee1ae9,single,2
"Glutamine is increased in CSF, blood & urine in which defect:",Defect in urea cycle Defect Enzyme involved Hyperammonemia type I Carbamoyl phosphate synthase I Hyperammonemia type II Ornithine transcarbamoylase Citrullinemia Arginosuccinate synthase Arginosuccinic aciduria Arginosuccinase Hyperarginemia Arginase In all enzyme deficiency ammonia will increase but cps 1 is rate limiting enzyme so it will increase ammonia most & and increase in ammonia lead to increase in glutamine. NOTE: The only urea cycle disorder that is inheritedX-linked recessively ishyperammonemia type II.,3,Arginosuccinate synthetase,OTC,CPS-I,Arginase,Biochemistry,NEET 2019,bb2a03bd-5eda-4a19-9812-acc35052840c,single,3
Histone proteins are rich in which of the following amino acids?,"Histone proteins: Rich in positively charged amino acids, lysine and arginine. Carboxyl terminal 2/3rd of histone molecules are hydrophobic, Amino terminal 1/3rd are paicularly rich in basic amino acids. These amino terminal end protrude out of the octamer and is known as histone tail. Amino acids of histone tail undergo post-translational modifications.",2,Histidine and lysine,Lysine and Arginine,Arginine and Histidine,Histidine and Valine,Biochemistry,Basics of DNA,b6602ea5-d4dc-4c37-bf43-7b20105c6641,single,4
"A 20 year old alcoholic malnourished patient presented to hospital with respiratory distress. His pulse was 112/minute. Patient had edema, hypeension, systolic murmur along the left sternal edge. Bilateral murmur along the left sternal edge. Bilateral crepitations were felt in the lungs. A diagnosis of congetsive high output cardiac failure was made. Which vitamin is deficient?","vitamin B 1 - water soluble vitamin It has a specific coenzyme TPP (thiamine pyrophosphate ) this help in carbohydrate metabolism . TPP Dependent enzyme pyruvate dehydrogenase - conversion of pyruvate to acetyl CoA. alpha -Ketoglutarate dehydrogenase - CTA CYCLE Transketolas - (HMP shunt) The branched chain ALPHA - keto acid dehydrogenase -: oxidative decarboxylation pyrophosphate of branched chain amino acids . RDA ( Recommended dietary allowance) Adult - 1 - 1.5 mg/day Children - 0.7 - 1.2 mg /day The requirement increases in pregnancy and lactation (2 mg/ day), old age and alcoholism. Deficiency of vitamin b 1 is known as beriberi In adults, two types of beri-beri WET BERI - BERI - This is characterized by edema of legs, face, trunk and serous cavities. Dyspnea and palpitation are present The systolic blood pressure is elevated while diastolic is decreased Pulse is fast and bouncing Death is due to hea failure Dry beri-beri - This is associated with neurological manifestations resulting in peripheral neuritis. edema is not seen muscle become week so patient has difficulty in walking. Infantile beri-beri infant born to mother who is suffering from thiamine deficiency Brest milk is contain low thiamine Sleeplessness , vomiting , convulsions Bouts of screaming resembles to abdominal colic These all symptoms are due cardiac dilation Death occur suddenly due to hea failure Wernickes Korsakoff syndrome Seen in chronic alcoholics insufficient intake or impaired intestinal absorption of thiamine will lead to this syndrome Symptoms of wernickes encephalopathy - G - GLOBAL CONFUSION O - OPHTHALMOPLEGIA A - ATAXIA Korsakoff syndrome - chronic neurological complication Amnesia - mainly anterograde amnesia Confabulations - false story and honest lying Thiamin Nutritional Status Can Be Assessed by Erythrocyte Transketolase Activaity",1,Vitamin B1,Vitamin C,Vitamin B2,Vitamin B 6,Biochemistry,NEET 2019,168fb3da-5932-4c50-900a-9e560f0ba3ee,single,1
Enzyme which prevents aging/senscence is -,"Ans. is 'a' i.e., Telomerase Telomers and Telomeraseo Telomers are short repeated sequences of DNA present at the end of eukaryotic chromosomes.o In normal cells, telomeres get shortened in each replicated cycle. After the telomers get shortened by a critical length, cell stops dividing and enters into Go phase (senscence).o However, germ cells, cancer cells and stem cells have an enzyme telomerase (telomerase activity) which prevents telomer shortening. Thus telomers are not shortened in these cells, and therefore these cells have ability to self replicate extensively.o Telomerase is a reverse transcriptase (RNA dependent DNA polymerase) and is responsible for telomer synthesis and maintaining the length of telomers (replication of end of chromosome). Thus, telomerase provide longetivity to the cells which contain this enzyme.o Telomerase is absent from most of the somatic cells and hence they suffer progressive loss of telomers and they exit the cell cycle.o Senscent cells lack telomerase so their telomers get shortened by critical length and these cells remains in Go phase.",1,Telomerase,DNA polymerase,Catalase,Peroxidase,Biochemistry,DNA Replication ,d9e64ea6-fd26-4388-9d06-357e241752bd,single,1
Which of the following is the major proteoglycan of synovial fluid -,"Ans. is 'd' i.e., Hyaluronic acid DistributionHyaluronic acido Synovial fluid (provides viscosity), vitreous humor, loose connective tissue)Chondroitin sulfateo Cartilage, bone, tendon, ligament, corneaDermatan sulfateo Pliability of skin, and heart valves, wide distributionKeratan sulfateo Homy structures like hair, nails, claws, horn, hoofso Also present in corneaHeparino Mast cellsHeparan sulfateo Skin fibroblast, aortic wall",4,Chondroitin sulfate,Dermatan sulfate,Heparan sulfate,Hyaluronic acid,Biochemistry,Membrane Structure & Function,07297836-e434-410d-9d5c-728dcfa4c510,single,4
RBC membrane is maintained by:-,"Ans. is 'a' spectrin .Proteins maintaining the shape, flexibility and the strength of RBC membrane are-Spectrin (most important)AnkyrinProtein 4.1A deficiency of any one of the membrane skeletal proteins can cause hereditary spherocytosis* (though spectrin is the most common defect).",1,Spectrin,Laminin,Collagen,Elastin,Biochemistry,Membrane Structure & Function,4a0e60fc-54fc-4d5a-b87c-4e2ed38b3460,single,1
Basal metabolic rate is closely dependent on:,"Lean body mass is the mass which is not due to fat. Thus, lean body mass corresponds to muscles mainly. This is why, Men have more BMR than women. Elderly people have less BMR, since the muscle tissue gets infiltrated with fat with advanced age. Additional information on BMR: BMR is increased in BMR is decreased in Fever Protein Energy Malnutrition Hypehyroidism Hypothyroidism Cold environment Addison disease Cushing's syndrome Starvation Cachexia Obesity",2,Body Surface Area,Lean body mass,BMI,Height,Biochemistry,"Fuel in Fed, Fasting and Starvation",5d2b07ac-c092-40ea-9bec-282be714c31a,single,2
"In a sample of dsDNA, the molar ratio of Adenosine is 20%. From this information, tell the content of Cytosine?","According to chargaff's rule in a ds DNA, the total purine content is equal to the pyrimidine content. Since =, so = 20% + = 20+20 = 40% + = 100-(+)= 100-40% =60% As = , so = 60/2 = 30% Chargaff Rule 1. Total number of purine (A+G) is equal to total number of pyrimidine (C+T) I.e. A + G / C + T = I 2. A = T or A/T = I 3. G= C or G/C = I 4. The numbers of (A+T) and (G+C) are only varibales, i.e., A + T [?] G + C If (A+T) > (G+C) then DNA is referre as (AT-type). If (G+C) > (A+T) then DNA is referred as (GC-type). Chargaff's Rule only applies to double-stranded DNA, due to the complementary base pairing that occurs between A-T and C-G.",3,10,20,30,40,Biochemistry,Basics of DNA,9fd12295-5905-4990-b6f1-de0956447ad8,single,3
